"species","experiment","stick_no","seedcount"
"silvul","exp1","stick6",7
"silvul","exp1","stick7",15
"silvul","exp1","stick8",18
"silvul","exp1","stick9",18
"silvul","exp1","stick10",2
"silvul","exp1","stick11",11
"silvul","exp1","stick12",12
"silvul","exp1","stick13",14
"silvul","exp1","stick14",9
"silvul","exp1","stick15",13
"silvul","exp1","stick16",13
"silvul","exp1","stick17",9
"silvul","exp1","stick18",8
"silvul","exp1","stick19",17
"silvul","exp1","stick20",7
"brapin","exp2","stick1",5
"brapin","exp2","stick2",6
"brapin","exp2","stick3",6
"brapin","exp2","stick4",4
"brapin","exp2","stick5",4
"brapin","exp2","stick6",5
"medlup","exp2","stick1",10
"medlup","exp2","stick2",8
"medlup","exp2","stick3",8
"medlup","exp2","stick4",15
"medlup","exp2","stick5",9
"medlup","exp2","stick6",8
"medlup","exp2","stick7",12
"medlup","exp2","stick8",9
"medlup","exp2","stick9",14
"medlup","exp2","stick10",6
"medlup","exp2","stick11",10
"medlup","exp2","stick12",7
"medlup","exp2","stick13",13
"medlup","exp2","stick14",13
"medlup","exp2","stick15",10
"medlup","exp2","stick16",9
"medlup","exp2","stick17",8
"medlup","exp2","stick18",16
"medlup","exp2","stick19",7
"medlup","exp2","stick20",9
"cenjac","exp2","stick1",9
"cenjac","exp2","stick2",13
"cenjac","exp2","stick3",12
"cenjac","exp2","stick4",5
"cenjac","exp2","stick5",10
"cenjac","exp2","stick6",11
"cenjac","exp2","stick7",9
"cenjac","exp2","stick8",5
"cenjac","exp2","stick9",10
"cenjac","exp2","stick10",9
"cenjac","exp2","stick11",8
"cenjac","exp2","stick12",9
"cenjac","exp2","stick13",15
"cenjac","exp2","stick14",10
"cenjac","exp2","stick15",8
"cenjac","exp2","stick16",5
"cenjac","exp2","stick17",7
"cenjac","exp2","stick18",8
"cenjac","exp2","stick19",9
"cenjac","exp2","stick20",11
"broere","exp2","stick1",5
"broere","exp2","stick2",9
"broere","exp2","stick3",4
"broere","exp2","stick4",7
"broere","exp2","stick5",7
"broere","exp2","stick6",9
"broere","exp2","stick7",5
"broere","exp2","stick8",8
"broere","exp2","stick9",9
"broere","exp2","stick10",6
"broere","exp2","stick11",5
"broere","exp2","stick12",9
"broere","exp2","stick13",5
"broere","exp2","stick14",8
"broere","exp2","stick15",9
"broere","exp2","stick16",7
"broere","exp2","stick17",6
"broere","exp2","stick18",5
"broere","exp2","stick19",6
"broere","exp2","stick20",8
"plamed","exp2","stick1",24
"plamed","exp2","stick2",35
"plamed","exp2","stick3",33
"plamed","exp2","stick4",32
"plamed","exp2","stick5",23
"plamed","exp2","stick6",14
"salpra","exp2","stick1",8
"salpra","exp2","stick2",10
"salpra","exp2","stick3",8
"salpra","exp2","stick4",6
"salpra","exp2","stick5",10
"salpra","exp2","stick6",13
"salpra","exp2","stick7",8
"salpra","exp2","stick8",9
"salpra","exp2","stick9",5
"salpra","exp2","stick10",11
"salpra","exp2","stick11",12
"salpra","exp2","stick12",7
"salpra","exp2","stick13",9
"salpra","exp2","stick14",7
"salpra","exp2","stick15",6
"salpra","exp2","stick16",6
"salpra","exp2","stick17",7
"salpra","exp2","stick18",8
"salpra","exp2","stick19",6
"salpra","exp2","stick20",8
"scacol","exp2","stick1",6
"scacol","exp2","stick2",5
"scacol","exp2","stick3",6
"scacol","exp2","stick4",8
"scacol","exp2","stick5",6
"scacol","exp2","stick6",7
"silvul","exp2","stick1",21
"silvul","exp2","stick2",22
"silvul","exp2","stick3",18
"silvul","exp2","stick4",18
"silvul","exp2","stick5",21
"silvul","exp2","stick6",22
"daucar","exp2","stick1",9
"daucar","exp2","stick2",9
"daucar","exp2","stick3",10
"daucar","exp2","stick4",6
"daucar","exp2","stick5",6
"daucar","exp2","stick6",9
"daucar","exp2","stick7",9
"daucar","exp2","stick8",9
"daucar","exp2","stick9",6
"daucar","exp2","stick10",8
"daucar","exp2","stick11",8
"daucar","exp2","stick12",10
"daucar","exp2","stick13",12
"daucar","exp2","stick14",8
"daucar","exp2","stick15",10
"daucar","exp2","stick16",7
"daucar","exp2","stick17",5
"daucar","exp2","stick18",10
"daucar","exp2","stick19",6
"daucar","exp2","stick20",6
"hypper","exp2","stick1",28
"hypper","exp2","stick2",30
"hypper","exp2","stick3",25
"hypper","exp2","stick4",23
"hypper","exp2","stick5",21
"hypper","exp2","stick6",26
