"","Species","Min_Altitude","Max_Altitude","Avg_Altitude","SpeciesAverageCover","NumberOfSites","AltitudeRange"
"360","Platanthera.bifolia..L...Rich.",874.9,1436.8,1039.04,0.28,5,561.9
"361","Ajuga.genevensis.L.",1039.3,1997.2,1619.28571428571,0.271428571428571,7,957.9
"362","Artemisia.campestris.aggr.",1141.3,1141.3,1141.3,0.5,1,0
"363","Stachys.recta.L.",888.7,1141.3,1015,0.3,2,252.6
"364","Echium.vulgare.L.",698.2,1397.1,1103.58,0.98,10,698.9
"365","Medicago.falcata.L.",678.6,992.4,753.975,2.95625,16,313.8
"366","Pseudolysimachion.spicatum..L...Opiz",678.6,799.2,711.4,2.24,5,120.6
"367","Androsace.chamaejasme.Wulfen",1960.1,2438.6,2126.06724137931,0.386206896551724,58,478.5
"368","Antennaria.dioica..L...Gaertn.",1960.1,2352.9,2044.1380952381,1.18571428571429,21,392.8
"369","Anthyllis.vulneraria.L.",679.7,2481.2,2042.69603174603,2.89444444444444,126,1801.5
"370","Apiaceae",2000.5,2000.5,2000.5,0.1,1,0
"371","Aster.alpinus.L.",1938.2,2352.9,2088.16296296296,0.777777777777778,27,414.7
"372","Avenella.flexuosa..L...Drejer",2000.5,2000.9,2000.7,0.1,2,0.400000000000091
"373","Botrychium.lunaria..L...Sw.",1731.4,2281.8,2003.94285714286,0.214285714285714,14,550.4
"374","Carex.sempervirens.Vill.",719.2,2481.2,2039.9553030303,4.67878787878788,132,1762
"375","Galium.anisophyllon.Vill.",1379.9,2481.2,1987.6664,0.3536,125,1101.3
"376","Gentiana.acaulis.L.",1721.1,2330.2,1992.7,0.466666666666667,18,609.1
"377","Gentiana.bavarica.L.",2000.5,2030.1,2015.3,0.1,2,29.5999999999999
"378","Gentiana.verna.L.",988.4,2736.2,2032.26451612903,0.532258064516129,31,1747.8
"379","Helianthemum.alpestre..Jacq...DC.",719.2,2438.6,2085.09791666667,4.153125,96,1719.4
"380","Pedicularis.verticillata.L.",1960.1,2422.9,2067.3375,0.23125,16,462.8
"381","Plantago.atrata.Hoppe",995.6,2499.4,1954.8223880597,2.53507462686567,134,1503.8
"382","Polygala.alpestris.Rchb.",974.3,2302.8,1983.50487804878,0.160975609756098,41,1328.5
"383","Potentilla.aurea.L.",1227.7,2330.2,1926.51160714286,0.857142857142857,112,1102.5
"384","Potentilla.crantzii..Crantz..Fritsch",981.1,2736.2,1946.38472222222,0.791666666666667,72,1755.1
"385","Primula.farinosa.L.",1968,2361.9,2063.484,0.296,25,393.9
"386","Pulsatilla.vernalis..L...Mill.",1953.5,2427,2047.94864864865,0.610810810810811,37,473.5
"387","Saxifraga.paniculata.Mill.",1970,2481.2,2152.26333333333,0.42,30,511.2
"388","Selaginella.selaginoides..L...Schrank...Mart.",1848.2,2390.6,2094.39361702128,0.223404255319149,47,542.4
"389","Silene.acaulis..L...Jacq.",1938.2,2736.2,2136.41621621622,1.86756756756757,37,798
"390","Trifolium",2000.5,2000.5,2000.5,0.1,1,0
"391","Veronica.fruticans.Jacq.",1993.8,2061.3,2008.92,0.18,5,67.5000000000002
"392","Viola.calcarata.L.",1909.2,2458.6,2064.9756097561,0.158536585365854,41,549.4
"393","Anthoxanthum.alpinum.Á..Löve...D..Löve",1857.9,2219.8,2064.7,0.383333333333333,6,361.9
"394","Crepis.aurea..L...Cass.",1399.9,2390.6,1983.9984375,1.2734375,64,990.7
"395","Gentiana.orbicularis.Schur",1986.2,1986.2,1986.2,0.1,1,0
"396","Nardus.stricta.L.",995.6,2202.1,1941.92,15.98,40,1206.5
"397","Phleum.alpinum.aggr.",1360,2202.1,1904.7630952381,3.1452380952381,84,842.1
"398","Poa.alpina.L.",1386.9,2736.2,2037.52134831461,0.753932584269663,89,1349.3
"399","Ranunculus.montanus.aggr.",1318.5,2736.2,1966.42627118644,0.494067796610169,118,1417.7
"400","Trifolium.badium.Schreb.",1431.7,2427,2039.08113207547,0.826415094339623,53,995.3
"401","Festuca.rupicaprina..Hack...A..Kern.",1985.1,2736.2,2193.85,0.6,8,751.1
"402","Geum.montanum.L.",1623,2390.6,2038.7325,1.8975,40,767.6
"403","Homogyne.alpina..L...Cass.",1379.9,2427,1933.04523809524,1.44761904761905,84,1047.1
"404","Nigritella.rhellicani.aggr.",1977.2,2176.9,2021.16,0.1,10,199.7
"405","Phyteuma.orbiculare.L.",1107.8,2427,1893.80714285714,0.264285714285714,70,1319.2
"406","Polygonum.viviparum.L.",1406.7,2736.2,1984.36129032258,0.434408602150538,93,1329.5
"407","Potentilla.pusilla.Host",662.8,1993.8,1130.68636363636,2.20909090909091,22,1331
"408","Salix.retusa.L.",1881.4,2499.4,2165.3,4.10222222222222,45,618
"409","Trollius.europaeus.L.",1538.9,2317.4,1889.12162162162,1.56756756756757,37,778.5
"410","Vaccinium.vitis.idaea.L.",1379.9,2269.3,1896.14523809524,4.57857142857143,42,889.4
"411","Anemone.narcissiflora.L.",1975.7,2133,2020.94615384615,0.284615384615385,13,157.3
"412","Aster.bellidiastrum..L...Scop.",1403.2,2427,2043.27012987013,1.01558441558442,77,1023.8
"413","Bartsia.alpina.L.",1961.6,2427,2182.13043478261,0.347826086956522,23,465.4
"414","Dryas.octopetala.L.",1898.6,2427,2167.314,11.278,50,528.4
"415","Festuca",2000.9,2138.2,2069.55,3,2,137.3
"416","Helictotrichon.versicolor..Vill...Pilg.",1994.5,2317.4,2086.9,1.65,4,322.9
"417","Leucanthemum.adustum..W..D..J..Koch..Gremli",1538.9,2176.9,1930.075,0.8,4,638
"418","Primula.auricula.L.",1953.5,2422.9,2158.78823529412,1.25882352941176,34,469.4
"419","Scabiosa.lucida.Vill.",1337.7,2481.2,2047.44307692308,0.827692307692308,65,1143.5
"420","Soldanella.alpina.L.",1304,2427,1979.6880733945,0.377064220183486,109,1123
"421","Vaccinium.myrtillus.L.",1158.6,2361.9,1798.71081081081,5.5027027027027,37,1203.3
"422","Agrostis.alpina.Scop.",1900.6,2481.2,2129.39393939394,3.41666666666667,66,580.6
"423","Prunus",614.1,1994.5,1030.75,0.1,4,1380.4
"424","Trifolium.thalii.Vill.",1994.5,2202.1,2062.075,0.1,4,207.6
"425","Geranium.pratense.L.",1227.7,1669.7,1527.1,2.875,4,442
"426","Calamagrostis.villosa..Chaix..J..F..Gmel.",1304,1304,1304,0.1,1,0
"427","Luzula.sylvatica.aggr.",1281.5,2003.6,1637.96296296296,3.86296296296296,27,722.1
"428","Polygonatum.verticillatum..L...All.",1088.7,1575.5,1377.65384615385,2.1,13,486.8
"429","Thalictrum.aquilegiifolium.L.",1304,1304,1304,0.1,1,0
"430","Valeriana.officinalis.aggr.",1304,1581.9,1453.94,1.62,5,277.9
"431","Alchemilla.alpina.aggr.",1586.1,1586.1,1586.1,4,1,0
"432","Cerastium",1586.1,1586.1,1586.1,0.1,1,0
"433","Sagina.saginoides..L...H..Karst.",1586.1,1989.9,1808.83333333333,0.166666666666667,6,403.8
"434","Barbarea.vulgaris.R..Br.",1442.4,1442.4,1442.4,0.5,1,0
"435","Chenopodium.bonus.henricus.L.",1442.4,1442.4,1442.4,0.5,1,0
"436","Cirsium",1442.4,1442.4,1442.4,0.1,1,0
"437","Geranium.pyrenaicum.Burm..f.",1442.4,1442.4,1442.4,0.1,1,0
"438","Rumex.alpinus.L.",1314.3,1939.9,1650.85714285714,10.2285714285714,7,625.6
"439","Epilobium.montanum.L.",1314.3,1314.3,1314.3,0.5,1,0
"440","Geum.rivale.L.",1314.3,1733.4,1502.86666666667,2.03333333333333,6,419.1
"441","Luzula.pilosa..L...Willd.",1314.3,1314.3,1314.3,5,1,0
"442","Myosotis.arvensis.Hill",1314.3,1314.3,1314.3,0.1,1,0
"443","Rumex.alpestris.Jacq.",1314.3,2114.9,1756.19090909091,3.12272727272727,22,800.6
"444","Gymnadenia.conopsea..L...R..Br.",1107.8,1107.8,1107.8,0.1,1,0
