"unique_plant_ID","ind_number","species","functional_group","date_measurement","date_planting","collector","height_vegetative_str","vegetative_width","leaf_length1","leaf_length2","leaf_length3","number_leaves"
"CHE.lo.ambi.vege.wf.01.18.1",1,"hypper","forb",2021-06-21,2021-06-16,"CB",11,NA,20,20,19,34
"CHE.lo.ambi.vege.wf.01.19.1",1,"salpra","forb",2021-06-21,2021-06-16,"CB",55,NA,45,45,40,8
"CHE.lo.ambi.vege.wf.01.20.1",1,"silvul","forb",2021-06-21,2021-06-16,"CB",55,NA,32,29,24,12
"CHE.lo.ambi.vege.wf.01.21.1",1,"medlup","legume",2021-06-21,2021-06-16,"CB",125,NA,17,15,14,8
"CHE.lo.ambi.vege.wf.01.22.1",1,"silvul","forb",2021-06-21,2021-06-16,"CB",74,NA,37,36,34,16
"CHE.lo.ambi.vege.wf.01.23.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",50,NA,47,42,31,6
"CHE.lo.ambi.vege.wf.01.24.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",32,NA,22,21,19,6
"CHE.lo.ambi.vege.wf.01.25.1",1,"cenjac","forb",2021-06-21,2021-06-16,"CB",128,NA,114,109,86,7
"CHE.lo.ambi.vege.wf.01.26.1",1,"salpra","forb",2021-06-21,2021-06-16,"CB",37,NA,37,36,31,8
"CHE.lo.ambi.vege.wf.01.27.1",1,"medlup","legume",2021-06-21,2021-06-16,"CB",78,NA,11,10,10,5
"CHE.lo.ambi.vege.wf.01.28.1",1,"salpra","forb",2021-06-21,2021-06-16,"CB",50,NA,50,47,45,8
"CHE.lo.ambi.vege.wf.01.29.1",1,"plamed","forb",2021-06-21,2021-06-16,"CB",61,NA,60,60,42,6
"CHE.lo.ambi.vege.wf.01.30.1",1,"cenjac","forb",2021-06-21,2021-06-16,"CB",161,NA,148,134,129,7
"CHE.lo.ambi.vege.wf.02.01.1",1,"brapin","graminoid",2021-06-21,2021-06-16,"CB",195,NA,156,135,70,7
"CHE.lo.ambi.vege.wf.02.02.1",1,"daucar","forb",2021-06-21,2021-06-16,"CB",174,NA,156,147,115,5
"CHE.lo.ambi.vege.wf.02.03.1",1,"broere","graminoid",2021-06-21,2021-06-16,"CB",395,NA,294,254,120,4
"CHE.lo.ambi.vege.wf.02.04.1",1,"broere","graminoid",2021-06-21,2021-06-16,"CB",416,NA,356,245,164,6
"CHE.lo.ambi.vege.wf.02.05.1",1,"hypper","forb",2021-06-21,2021-06-16,"CB",59,NA,14,14,14,15
"CHE.lo.ambi.vege.wf.02.06.1",1,"scacol","forb",2021-06-21,2021-06-16,"CB",41,NA,33,27,26,6
"CHE.lo.ambi.vege.wf.02.07.1",1,"broere","graminoid",2021-06-21,2021-06-16,"CB",332,NA,286,205,199,5
"CHE.lo.ambi.vege.wf.02.08.1",1,"brapin","graminoid",2021-06-21,2021-06-16,"CB",333,NA,202,160,86,8
"CHE.lo.ambi.vege.wf.02.09.1",1,"medlup","legume",2021-06-21,2021-06-16,"CB",78,NA,11,10,9,6
"CHE.lo.ambi.vege.wf.02.10.1",1,"plamed","forb",2021-06-21,2021-06-16,"CB",71,NA,72,65,55,7
"CHE.lo.ambi.vege.wf.02.11.1",1,"silvul","forb",2021-06-21,2021-06-16,"CB",181,NA,43,37,32,14
"CHE.lo.ambi.vege.wf.02.12.1",1,"daucar","forb",2021-06-21,2021-06-16,"CB",158,NA,151,107,NA,2
"CHE.lo.ambi.vege.wf.02.13.1",1,"daucar","forb",2021-06-21,2021-06-16,"CB",159,NA,156,147,48,3
"CHE.lo.ambi.vege.wf.02.14.1",1,"cenjac","forb",2021-06-21,2021-06-16,"CB",114,NA,113,105,101,6
"CHE.lo.ambi.vege.wf.02.15.1",1,"hypper","forb",2021-06-21,2021-06-16,"CB",91,NA,20,20,20,32
"CHE.lo.ambi.vege.wf.02.16.1",1,"brapin","graminoid",2021-06-21,2021-06-16,"CB",210,NA,145,127,65,3
