unique_plot_ID,veg_height
CHE.hi.warm.vege.wf.03,42
CHE.hi.ambi.vege.nf.03,82
CHE.hi.warm.vege.wf.05,49
CHE.hi.ambi.vege.nf.05,84
CHE.hi.warm.vege.nf.05,136
CHE.hi.ambi.vege.wf.05,107
CHE.hi.warm.vege.wf.04,68
CHE.hi.warm.vege.wf.01,24
CHE.hi.warm.vege.nf.04,49
CHE.hi.ambi.vege.wf.04,80
CHE.hi.ambi.vege.nf.04,64
CHE.hi.ambi.vege.wf.01,115
CHE.hi.ambi.vege.wf.06,156
CHE.hi.ambi.vege.nf.06,222
CHE.hi.warm.vege.nf.06,52
CHE.hi.warm.vege.wf.06,42
CHE.hi.warm.vege.wf.07,57
CHE.hi.ambi.vege.wf.07,52
CHE.hi.ambi.vege.nf.08,50
CHE.hi.ambi.vege.wf.08,68
CHE.hi.warm.vege.nf.08,50
CHE.hi.warm.vege.wf.08,115
CHE.hi.warm.vege.nf.09,55
CHE.hi.ambi.vege.nf.09,49
CHE.hi.warm.vege.wf.09,68
CHE.hi.ambi.vege.wf.09,64
CHE.hi.warm.vege.nf.10,80
CHE.hi.ambi.vege.wf.10,61
CHE.hi.warm.vege.wf.10,78
CHE.hi.ambi.vege.nf.10,76
CHE.lo.ambi.vege.wf.09,190
CHE.lo.ambi.vege.wf.08,228
CHE.lo.ambi.vege.wf.07,310
CHE.lo.ambi.vege.wf.06,428
CHE.lo.ambi.vege.wf.10,256
CHE.lo.ambi.vege.wf.04,240
CHE.lo.ambi.vege.wf.01,364
CHE.lo.ambi.vege.wf.02,115
CHE.lo.ambi.vege.wf.05,482
CHE.lo.ambi.vege.wf.03,156
CHE.hi.ambi.vege.wf.02,49
CHE.hi.ambi.vege.nf.02,53
CHE.hi.warm.vege.nf.02,54
CHE.hi.warm.vege.wf.02,60
CHE.hi.ambi.vege.wf.03,79
CHE.hi.warm.vege.nf.03,68
CHE.hi.warm.vege.wf.03,111
CHE.hi.ambi.vege.nf.03,41
CHE.hi.warm.vege.wf.05,48
CHE.hi.ambi.vege.nf.05,81
CHE.hi.warm.vege.nf.05,168
CHE.hi.ambi.vege.wf.05,98
CHE.hi.warm.vege.wf.04,89
CHE.hi.warm.vege.wf.01,75
CHE.hi.warm.vege.nf.04,30
CHE.hi.ambi.vege.wf.04,70
CHE.hi.ambi.vege.nf.04,96
