site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,plamed,vege.ambi,establishment,179,NA,-0.26524943969080805,0.39825349814444566,NA,NA,NA,NA,ambi,vege,-7.665473872274615,0.15030031795649917
hi,plamed,vege.ambi,recruit_size,226,NA,NA,NA,NA,NA,-3.199979987199886,1.7944354485337715,ambi,vege,-7.665473872274615,0.15030031795649917
hi,plamed,vege.warm,survival,239,NA,4.7749129583779535,0.710060747913764,NA,NA,NA,NA,warm,vege,-7.665473872274615,-0.04375895701302906
hi,plamed,vege.warm,size_t1_log,118,0.7847628205461594,-0.5220898005106013,0.13146594367679404,0.05447015417549492,0.702799497522122,NA,NA,warm,vege,-7.665473872274615,-0.04375895701302906
hi,plamed,vege.warm,flower_status,357,4.699892088754481,1.7815187396471646,0.7076588236327648,0.6715658537741185,NA,NA,NA,warm,vege,-7.665473872274615,-0.04375895701302906
hi,plamed,vege.warm,number_seeds,85,0.21749431745289693,5.272191390821184,0.17039682869787215,0.14160347372416016,NA,NA,NA,warm,vege,-7.665473872274615,-0.04375895701302906
hi,plamed,vege.warm,germ_rate,180,NA,-2.237960095203198,0.222746800407051,NA,NA,NA,NA,warm,vege,-7.665473872274615,-0.04375895701302906
hi,plamed,vege.warm,establishment,179,NA,-0.26524943969080805,0.39825349814444566,NA,NA,NA,NA,warm,vege,-7.665473872274615,-0.04375895701302906
hi,plamed,vege.warm,recruit_size,226,NA,NA,NA,NA,NA,-3.199979987199886,1.7944354485337715,warm,vege,-7.665473872274615,-0.04375895701302906
hi,salpra,bare.ambi,survival,238,NA,5.0022818126108675,1.3693405711781175,NA,NA,NA,NA,ambi,bare,-4.239477631481326,1.4090272300082707
hi,salpra,bare.ambi,size_t1_log,116,0.578051788124411,0.02176618139658693,0.17521305907389892,0.09242002765929871,0.7673012647966563,NA,NA,ambi,bare,-4.239477631481326,1.4090272300082707
hi,salpra,bare.ambi,flower_status,356,1.3607386121050795,-0.7070053149155653,0.25013310652749654,0.27935378191345717,NA,NA,NA,ambi,bare,-4.239477631481326,1.4090272300082707
hi,salpra,bare.ambi,number_seeds,27,0.3737452979982754,4.399236438136017,0.2653161617138079,0.08521359677872023,NA,NA,NA,ambi,bare,-4.239477631481326,1.4090272300082707
hi,salpra,bare.ambi,germ_rate,157,NA,-2.264035815216277,0.2149105047176243,NA,NA,NA,NA,ambi,bare,-4.239477631481326,1.4090272300082707
hi,salpra,bare.ambi,establishment,157,NA,0.9964857415156367,0.29105980670283693,NA,NA,NA,NA,ambi,bare,-4.239477631481326,1.4090272300082707
hi,salpra,bare.ambi,recruit_size,221,NA,NA,NA,NA,NA,-2.591370914184577,1.1528033203186945,ambi,bare,-4.239477631481326,1.4090272300082707
hi,salpra,bare.warm,survival,238,NA,25.03097025103047,9428.61091054143,NA,NA,NA,NA,warm,bare,-4.786668066479001,1.4361891038576795
hi,salpra,bare.warm,size_t1_log,116,0.578051788124411,-0.06586042554894249,0.1665522028331268,0.09242002765929871,0.7673012647966563,NA,NA,warm,bare,-4.786668066479001,1.4361891038576795
hi,salpra,bare.warm,flower_status,356,1.3607386121050795,-0.7070053149155653,0.25013310652749654,0.27935378191345717,NA,NA,NA,warm,bare,-4.786668066479001,1.4361891038576795
hi,salpra,bare.warm,number_seeds,27,0.004677827254024436,4.27528725061247,0.2675898477246826,0.09381293507388203,NA,NA,NA,warm,bare,-4.786668066479001,1.4361891038576795
hi,salpra,bare.warm,germ_rate,157,NA,-3.114590309826922,0.23990986790523852,NA,NA,NA,NA,warm,bare,-4.786668066479001,1.4361891038576795
hi,salpra,bare.warm,establishment,157,NA,-0.2346638246346482,0.3409506576772485,NA,NA,NA,NA,warm,bare,-4.786668066479001,1.4361891038576795
