site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,broere,bare.warm,size_t1_log,112,0.7216551080664094,2.1143013095871956,0.26433931292239465,0.10905977671715508,0.637483328187476,NA,NA,warm,bare,-4.32357108091301,2.627639068158608
hi,broere,bare.warm,flower_status,347,2.8838439629216546,-1.8234423110572382,0.5739247088532069,0.4347150609648199,NA,NA,NA,warm,bare,-4.32357108091301,2.627639068158608
hi,broere,bare.warm,number_seeds,85,1.1766257825595732,1.3272474101711211,0.21826599221004844,0.06535292264397256,NA,NA,NA,warm,bare,-4.32357108091301,2.627639068158608
hi,broere,bare.warm,germ_rate,160,NA,-0.5326770577798051,0.2822275344572026,NA,NA,NA,NA,warm,bare,-4.32357108091301,2.627639068158608
hi,broere,bare.warm,establishment,151,NA,-1.472399626822673,0.3049688951291663,NA,NA,NA,NA,warm,bare,-4.32357108091301,2.627639068158608
hi,broere,bare.warm,recruit_size,224,NA,NA,NA,NA,NA,-2.927731647678922,0.8695725682001418,warm,bare,-4.32357108091301,2.627639068158608
hi,broere,vege.ambi,survival,231,0.8910823912354627,23.92955608207367,2586.405572117604,0.3946466782643442,NA,NA,NA,ambi,vege,-4.904226230654358,0.33766684749497167
hi,broere,vege.ambi,size_t1_log,112,0.21960236476198108,-1.6063867824156177,0.42825965423330226,0.13806775468230237,0.637483328187476,NA,NA,ambi,vege,-4.904226230654358,0.33766684749497167
hi,broere,vege.ambi,flower_status,347,2.8838439629216546,-0.997008321000695,0.5709066637581856,0.4347150609648199,NA,NA,NA,ambi,vege,-4.904226230654358,0.33766684749497167
hi,broere,vege.ambi,number_seeds,85,1.3811395091806613,2.2467943139279267,0.23701085754756218,0.055607145637517556,NA,NA,NA,ambi,vege,-4.904226230654358,0.33766684749497167
hi,broere,vege.ambi,germ_rate,160,NA,-1.11491298491717,0.28349081986543356,NA,NA,NA,NA,ambi,vege,-4.904226230654358,0.33766684749497167
hi,broere,vege.ambi,establishment,151,NA,-0.3358658462004648,0.2914182609902306,NA,NA,NA,NA,ambi,vege,-4.904226230654358,0.33766684749497167
hi,broere,vege.ambi,recruit_size,224,NA,NA,NA,NA,NA,-2.927731647678922,0.8695725682001418,ambi,vege,-4.904226230654358,0.33766684749497167
hi,broere,vege.warm,survival,231,0.8910823912354627,23.92955608207367,2586.405572117604,0.3946466782643442,NA,NA,NA,warm,vege,-7.041641409770663,0.7020953709549514
hi,broere,vege.warm,size_t1_log,112,0.45578044326084927,-0.4435375848625296,0.4062289959733086,0.13751067430159883,0.637483328187476,NA,NA,warm,vege,-7.041641409770663,0.7020953709549514
hi,broere,vege.warm,flower_status,347,2.8838439629216546,0.2282366186456235,0.5544488653496322,0.4347150609648199,NA,NA,NA,warm,vege,-7.041641409770663,0.7020953709549514
hi,broere,vege.warm,number_seeds,85,1.1766257825595732,2.482000849434246,0.2263798600764285,0.06535292264397256,NA,NA,NA,warm,vege,-7.041641409770663,0.7020953709549514
hi,broere,vege.warm,germ_rate,160,NA,-0.8816082987156616,0.2851028268988465,NA,NA,NA,NA,warm,vege,-7.041641409770663,0.7020953709549514
hi,broere,vege.warm,establishment,151,NA,-0.05237398283787742,0.2560913858186291,NA,NA,NA,NA,warm,vege,-7.041641409770663,0.7020953709549514
hi,broere,vege.warm,recruit_size,224,NA,NA,NA,NA,NA,-2.927731647678922,0.8695725682001418,warm,vege,-7.041641409770663,0.7020953709549514
hi,cenjac,bare.ambi,survival,236,NA,3.4878118544891583,0.3836969159404106,NA,NA,NA,NA,ambi,bare,-5.003028450004179,3.1440121454851226
hi,cenjac,bare.ambi,size_t1_log,116,0.8010388945503697,2.77922776034787,0.3773061247895171,0.18007805023244466,1.017095009959858,NA,NA,ambi,bare,-5.003028450004179,3.1440121454851226
hi,cenjac,bare.ambi,flower_status,349,3.6948230022550423,2.830971052411892,0.668337038628287,0.4688993679154896,NA,NA,NA,ambi,bare,-5.003028450004179,3.1440121454851226
hi,cenjac,bare.ambi,number_seeds,153,0.7812704971248405,4.514792772550187,0.07798356154956455,0.012891876529692951,NA,NA,NA,ambi,bare,-5.003028450004179,3.1440121454851226
hi,cenjac,bare.ambi,germ_rate,163,NA,-0.947006787104345,0.07979042782387502,NA,NA,NA,NA,ambi,bare,-5.003028450004179,3.1440121454851226
hi,cenjac,bare.ambi,establishment,162,NA,0.3836635614193518,0.22474210486537985,NA,NA,NA,NA,ambi,bare,-5.003028450004179,3.1440121454851226
hi,cenjac,bare.ambi,recruit_size,232,NA,NA,NA,NA,NA,-2.9481542399236655,1.0444064418742667,ambi,bare,-5.003028450004179,3.1440121454851226
hi,cenjac,bare.warm,survival,236,NA,3.4878118544891583,0.3836969159404106,NA,NA,NA,NA,warm,bare,-5.209862232117596,2.7953279873351544
hi,cenjac,bare.warm,size_t1_log,116,0.8010388945503697,2.77922776034787,0.3773061247895171,0.18007805023244466,1.017095009959858,NA,NA,warm,bare,-5.209862232117596,2.7953279873351544
hi,cenjac,bare.warm,flower_status,349,3.6948230022550423,1.106320471034639,0.6266793413729719,0.4688993679154896,NA,NA,NA,warm,bare,-5.209862232117596,2.7953279873351544
hi,cenjac,bare.warm,number_seeds,153,0.7753754073561983,4.348895879040654,0.07860439800870939,0.015699448107570516,NA,NA,NA,warm,bare,-5.209862232117596,2.7953279873351544
hi,cenjac,bare.warm,germ_rate,163,NA,-0.947006787104345,0.07979042782387502,NA,NA,NA,NA,warm,bare,-5.209862232117596,2.7953279873351544
hi,cenjac,bare.warm,establishment,162,NA,0.3836635614193518,0.22474210486537985,NA,NA,NA,NA,warm,bare,-5.209862232117596,2.7953279873351544
hi,cenjac,bare.warm,recruit_size,232,NA,NA,NA,NA,NA,-2.9481542399236655,1.0444064418742667,warm,bare,-5.209862232117596,2.7953279873351544
hi,cenjac,vege.ambi,survival,236,NA,3.4878118544891583,0.3836969159404106,NA,NA,NA,NA,ambi,vege,-6.1453406688184975,-0.1917887258592556
hi,cenjac,vege.ambi,size_t1_log,116,0.8010388945503697,0.5215475497203004,0.556599896873854,0.18007805023244466,1.017095009959858,NA,NA,ambi,vege,-6.1453406688184975,-0.1917887258592556
hi,cenjac,vege.ambi,flower_status,349,3.6948230022550423,4.956136483872328,0.7949034555677724,0.4688993679154896,NA,NA,NA,ambi,vege,-6.1453406688184975,-0.1917887258592556
hi,cenjac,vege.ambi,number_seeds,153,0.421171239745472,3.268097418961619,0.12923807454546818,0.11216347051988605,NA,NA,NA,ambi,vege,-6.1453406688184975,-0.1917887258592556
hi,cenjac,vege.ambi,germ_rate,163,NA,-1.3209712184914546,0.08632593711016003,NA,NA,NA,NA,ambi,vege,-6.1453406688184975,-0.1917887258592556
hi,cenjac,vege.ambi,establishment,162,NA,0.8301254953328288,0.24813155101694345,NA,NA,NA,NA,ambi,vege,-6.1453406688184975,-0.1917887258592556
hi,cenjac,vege.ambi,recruit_size,232,NA,NA,NA,NA,NA,-2.9481542399236655,1.0444064418742667,ambi,vege,-6.1453406688184975,-0.1917887258592556
hi,cenjac,vege.warm,survival,236,NA,3.4878118544891583,0.3836969159404106,NA,NA,NA,NA,warm,vege,-6.052890349969364,0.1537381366126745
hi,cenjac,vege.warm,size_t1_log,116,0.8010388945503697,0.5215475497203004,0.556599896873854,0.18007805023244466,1.017095009959858,NA,NA,warm,vege,-6.052890349969364,0.1537381366126745
hi,cenjac,vege.warm,flower_status,349,3.6948230022550423,6.273886289679973,0.9439241554064994,0.4688993679154896,NA,NA,NA,warm,vege,-6.052890349969364,0.1537381366126745
hi,cenjac,vege.warm,number_seeds,153,-0.0708173179393,2.8055175294900785,0.12311005429670599,0.07641006764516747,NA,NA,NA,warm,vege,-6.052890349969364,0.1537381366126745
hi,cenjac,vege.warm,germ_rate,163,NA,-1.3209712184914546,0.08632593711016003,NA,NA,NA,NA,warm,vege,-6.052890349969364,0.1537381366126745
hi,cenjac,vege.warm,establishment,162,NA,0.8301254953328288,0.24813155101694345,NA,NA,NA,NA,warm,vege,-6.052890349969364,0.1537381366126745
hi,cenjac,vege.warm,recruit_size,232,NA,NA,NA,NA,NA,-2.9481542399236655,1.0444064418742667,warm,vege,-6.052890349969364,0.1537381366126745
hi,daucar,bare.ambi,survival,199,NA,-0.6591377996163504,0.23456440277720955,NA,NA,NA,NA,ambi,bare,-6.534688003239362,3.46744925991716
