unique_plant_ID,species,functional_group,date_planting,survival_2021,survival_2022,survival_2023,flower_status_2021,flower_status_2022,flower_status_2023,biomass_comb_2021,biomass_comb_2022,biomass_comb_2023,number_seeds_2021,number_seeds_2022,number_seeds_2023,height_vegetative_str_2021,height_vegetative_str_2022,height_vegetative_str_2023,number_leaves_2021,number_leaves_2022,number_leaves_2023
CHE.lo.ambi.bare.wf.02.17.2,plamed,forb,2021-06-21,1,1,0,1,1,NA,1.6927282178916767,5.76178135965366,NA,880.0555555555555,4400.277777777777,NA,62,101,NA,12,19,NA
CHE.lo.ambi.bare.wf.02.18.2,hypper,forb,2021-06-21,1,1,1,0,1,1,0.24678260183509693,14.768330478749528,5.14,0,30502,12684,112,525,398,101,1360,384
CHE.lo.ambi.bare.wf.02.19.1,salpra,forb,2021-06-16,1,1,1,0,1,1,0.48688268943829505,1.2767791366926464,3.11,0,398.54545454545456,199.27272727272728,90,175,350,12,11,20
CHE.lo.ambi.bare.wf.02.20.2,silvul,forb,2021-06-21,1,0,0,1,NA,NA,0.9649319426732944,NA,NA,249.66666666666666,NA,NA,166,NA,NA,78,NA,NA
CHE.lo.ambi.bare.wf.02.21.2,medlup,legume,2021-06-21,1,1,1,1,1,1,1.5494727945378375,4.711297117677103,1.52,912,5679.272727272727,1782.5454545454545,190,338,92,145,360,396
CHE.lo.ambi.bare.wf.02.22.2,silvul,forb,2021-06-21,1,1,1,1,1,1,3.8127516808672626,6.514573919920945,0.96,6691.066666666667,15379.466666666665,NA,140,352,150,376,296,146
CHE.lo.ambi.bare.wf.02.23.2,scacol,forb,2021-06-21,1,1,1,0,1,1,0.7648790690690378,33.46294418970704,40.4,0,7585.4000000000005,7585.4000000000005,86,682,670,25,173,177
CHE.lo.ambi.bare.wf.02.24.2,scacol,forb,2021-06-21,1,1,1,0,1,1,0.5549869408568964,22.157128522836913,35.51,0,2346,8211,64,456,429,27,133,221
CHE.lo.ambi.bare.wf.02.25.2,cenjac,forb,2021-06-21,1,1,1,1,1,1,1.3002370006518433,28.393736392372624,15.72,62.4,2184,2059.2,266,470,336,31,290,280
CHE.lo.ambi.bare.wf.02.26.2,salpra,forb,2021-06-21,1,1,1,0,1,1,0.8160488665735625,4.109793659949213,9.17,0,996.3636363636364,2490.909090909091,111,158,173,15,25,38
CHE.lo.ambi.bare.wf.02.27.2,medlup,legume,2021-06-21,1,1,0,1,1,NA,0.7532303035740979,4.287819428610915,NA,186.54545454545453,4642.909090909091,NA,83,445,NA,97,292,NA
CHE.lo.ambi.bare.wf.02.28.1,salpra,forb,2021-06-16,1,1,1,0,1,1,0.35850002796429703,1.8868252179572311,7.8,0,99.63636363636364,498.1818181818182,72,155,252,13,27,86
CHE.lo.ambi.bare.wf.02.29.2,plamed,forb,2021-06-21,1,1,0,0,1,NA,0.6860016858168624,5.13129556546989,NA,0,6160.388888888889,NA,59,112,NA,11,12,NA
CHE.lo.ambi.bare.wf.02.30.2,cenjac,forb,2021-06-21,1,1,1,1,1,1,0.5098152084861839,7.0728472970902585,1.92,62.4,1185.6,312,136,347,273,22,141,76
CHE.lo.ambi.bare.wf.03.01.2,brapin,graminoid,2021-06-21,1,0,0,0,NA,NA,0.025995518850089498,NA,NA,0,NA,NA,160,NA,NA,3,NA,NA
CHE.lo.ambi.bare.wf.03.02.2,daucar,forb,2021-06-21,1,1,0,0,0,NA,1.1429193244984088,0.1412789747403679,NA,0,0,NA,180,111,NA,11,5,NA
CHE.lo.ambi.bare.wf.03.03.2,broere,graminoid,2021-06-21,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE.lo.ambi.bare.wf.03.04.3,broere,graminoid,2021-09-21,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE.lo.ambi.bare.wf.03.05.2,hypper,forb,2021-06-21,1,1,1,0,1,1,0.9016780781069071,72.43596150828063,4.18,0,98301,8003,194,635,214,242,5502,1240
CHE.lo.ambi.bare.wf.03.06.2,scacol,forb,2021-06-21,1,1,1,0,1,1,0.20191894324141885,60.667368953830696,49.49,0,5630.4000000000005,4535.6,62,906,588,13,402,383
CHE.lo.ambi.bare.wf.03.07.2,broere,graminoid,2021-06-21,1,0,0,0,NA,NA,0.007050145742840564,NA,NA,0,NA,NA,210,NA,NA,1,NA,NA
CHE.lo.ambi.bare.wf.03.08.1,brapin,graminoid,2021-06-16,1,0,0,0,NA,NA,0.020095627611793364,NA,NA,0,NA,NA,145,NA,NA,3,NA,NA
CHE.lo.ambi.bare.wf.03.09.1,medlup,legume,2021-06-16,1,1,1,1,1,1,0.327019987024451,4.934760184630804,1.4,41.45454545454545,4601.454545454545,1036.3636363636363,134,357,73,59,358,270
CHE.lo.ambi.bare.wf.03.10.2,plamed,forb,2021-06-21,1,1,1,1,1,1,1.4337793742261635,5.707072852428503,3.51,1760.111111111111,2640.1666666666665,2640.1666666666665,44,133,84,12,13,22
CHE.lo.ambi.bare.wf.03.11.1,silvul,forb,2021-06-16,1,1,1,1,1,1,7.082586693101833,11.22704803440565,2.16,14181.066666666666,13482,749,213,483,337,736,556,104
CHE.lo.ambi.bare.wf.03.12.2,daucar,forb,2021-06-24,1,0,0,0,NA,NA,2.3388010130274597,NA,NA,0,NA,NA,181,NA,NA,19,NA,NA
CHE.lo.ambi.bare.wf.03.13.1,daucar,forb,2021-06-16,1,0,0,0,NA,NA,1.7924834120548445,NA,NA,0,NA,NA,177,NA,NA,16,NA,NA
CHE.lo.ambi.bare.wf.03.14.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.5470192959798827,12.016706021749865,13.59,0,1372.8,936,142,511,450,17,121,116
