"","spsi_treatcombi","lambda","species","site","treat_combi","site_treat_combi","treat_warm","treat_comp","trend","method"
"51","medlup_lo_bare.ambi",1.46542157211046,"medlup","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"52","medlup_lo_vege.ambi",0.572009952010971,"medlup","lo","vege.ambi","lo.vege.ambi","ambi","vege","shrink","normal"
"53","plamed_lo_bare.ambi",0.74284046987261,"plamed","lo","bare.ambi","lo.bare.ambi","ambi","bare","shrink","normal"
"54","plamed_lo_vege.ambi",0.99868381486102,"plamed","lo","vege.ambi","lo.vege.ambi","ambi","vege","shrink","normal"
"55","salpra_lo_bare.ambi",1.98376701044539,"salpra","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"56","salpra_lo_vege.ambi",0.535859427376203,"salpra","lo","vege.ambi","lo.vege.ambi","ambi","vege","shrink","normal"
"57","scacol_lo_bare.ambi",14.246599225583,"scacol","lo","bare.ambi","lo.bare.ambi","ambi","bare","grow","normal"
"58","scacol_lo_vege.ambi",1.19338395183482,"scacol","lo","vege.ambi","lo.vege.ambi","ambi","vege","grow","normal"
"59","silvul_lo_bare.ambi",0.353164797696316,"silvul","lo","bare.ambi","lo.bare.ambi","ambi","bare","shrink","normal"
"60","silvul_lo_vege.ambi",0.897705191453783,"silvul","lo","vege.ambi","lo.vege.ambi","ambi","vege","shrink","normal"
